Metropolitan_Area,Cost_Living,Jobs,Climate,Health_Care,Recreation
"Portsmouth-Rochester, NH-ME",15.59,48.44,17.28,17.28,63.17
"Madison, WI",18.14,79.6,4.81,90.93,62.88
"Sheboygan, WI",49.58,16.99,35.41,11.61,62.6
"Bridgeport, CT",13.89,9.34,60.33,67.42,62.32
"Brownsville-Harlingen-San Benito, TX",98.31,69.97,88.66,13.88,62.03
"Chattanooga, TN-GA",94.91,65.15,64.58,58.92,61.75
"Harrisburg-Lebanon-Carlisle, PA",48.73,81.3,56.37,69.4,61.47
"Tallahassee, FL",62.61,81.01,83.56,44.19,61.18
"Dutchess County, NY",4.25,30.59,43.05,48.44,60.9
"New Haven-Meriden, CT",13.6,11.61,60.33,60.05,60.62
"Bangor, ME",34.57,3.11,27.19,43.62,60.33
"Lexington, KY",59.21,82.15,44.47,98.01,60.05
"Gainesville, FL",67.99,69.68,84.41,96.31,59.77
"Shreveport-Bossier City, LA",92.07,39.94,54.39,89.8,59.49
"Santa Rosa, CA",6.52,80.45,95.18,82.43,59.2
"Lowell, MA-NH",14.45,13.31,37.96,37.39,58.35
"Baton Rouge, LA",68.28,82.43,75.07,57.5,57.79
"Binghamton, NY",28.9,14.73,24.36,22.94,57.5
"Dayton-Springfield, OH",48.45,63.73,20.96,79.6,56.94
"Provo-Orem, UT",48.16,89.51,57.79,3.68,56.65
"St. Cloud, MN",40.8,52.4,18.13,37.11,56.37
"Bergen-Passaic, NJ",2.55,26.06,44.19,89.51,56.09
"Hickory-Morganton-Lenoir, NC",60.63,56.37,70.25,34.84,55.8
"Jackson, MS",86.41,77.05,49.85,92.63,55.52
"New London-Norwich, CT-RI",8.79,18.13,38.81,14.73,55.24
"Ventura, CA",8.22,88.66,99.43,43.9,54.67
"Racine, WI",24.37,13.03,12.18,7.64,54.67
"Gary, IN",46.18,37.11,7.08,42.2,54.39
"Wichita, KS",66.86,50.14,23.79,76.48,54.1
"Macon, GA",71.11,35.69,58.07,71.67,53.82
"Augusta-Aiken, GA-SC",77.91,63.45,72.52,86.11,53.54
"Middlesex-Somerset-Hunterdon, NJ",5.1,64.58,50.14,74.78,53.25
"Fayetteville-Springdale-Rogers, AR",72.53,91.21,49.29,46.17,52.97
"Lafayette, LA",90.09,68.83,72.23,33.14,52.69
"Naples, FL",20.68,76.2,92.06,21.81,52.4
"Brockton, MA",12.19,18.98,48.72,1.69,52.12
"Reading, PA",27.48,30.02,32.29,26.62,51.84
"Corpus Christi, TX",94.62,58.92,84.13,54.39,51.27
"Lawrence, MA-NH",11.34,39.09,40.5,18.98,50.99
"Colorado Springs, CO",41.65,90.08,58.64,11.89,50.7
"Newburgh, NY-PA",6.8,46.74,49.57,18.41,50.42
"Jackson, MI",57.23,16.14,21.81,1.98,50.14
"Manchester, NH",23.23,26.91,2.54,12.74,49.85
"Kenosha, WI",41.08,27.19,30.31,3.39,49.57
"Johnson City-Kingsport-Bristol, TN-VA",97.46,49.57,64.3,75.07,49.29
"Beaumont-Port Arthur, TX",93.46,36.26,64.87,38.81,49
"Huntington-Ashland, WV-KY-OH",74.51,30.31,57.22,63.17,48.72
"Pittsfield, MA",22.67,0.56,22.37,30.31,48.44
"Lynchburg, VA",75.08,25.77,77.33,28.89,48.15
"Allentown-Bethlehem-Easton, PA",33.72,29.46,47.3,63.45,47.87
"New Bedford, MA",20.97,9.06,65.72,0,47.59
"Fargo-Moorhead, ND-MN",87.54,67.42,10.19,81.01,47.02
"South Bend, IN",85.27,61.47,6.23,56.09,46.74
"Boise City, ID",54.96,91.78,85.26,60.33,46.17
"Boulder-Longmont, CO",15.02,75.35,61.47,61.75,46.17
"San Luis Obispo-Atascadero-Paso Robles, CA",7.09,58.35,98.86,45.89,45.6
"Galveston-Texas City, TX",73.94,59.49,83,55.8,45.6
"Bloomington, IN",63.74,28.04,19.54,37.96,45.32
"Trenton, NJ",9.64,41.35,53.82,74.22,45.04
"Rockford, IL",56.1,33.99,12.74,54.67,44.75
"Grands Fork, ND-MN",71.68,21.24,11.61,53.25,44.47
"La Crosse, WI-MN",49.86,31.72,20.67,75.92,44.19
"Iowa City, IA",43.91,47.02,7.64,95.75,43.9
"Bremerton, WA",37.4,50.7,78.75,6.79,43.34
"Columbus, GA-AL",80.17,39.37,76.77,40.5,42.77
"El Paso, TX",95.47,86.68,82.15,19.83,42.49
"Bismarck, ND",83.86,35.12,13.03,82.71,41.92
"Green Bay, WI",39.95,68.55,10.48,18.13,41.92
"Springfield, MO",88.67,71.67,27.47,58.07,41.64
"Eugene-Springfield, OR",42.21,57.79,79.6,53.54,41.35
"Lincoln, NE",64.31,70.53,14.16,76.77,40.79
"Flint, MI",24.93,19.54,27.76,27.47,40.5
"Florence, AL",84.42,21.81,45.6,39.94,40.22
"Spokane, WA",66.01,73.37,67.7,80.16,39.94
"Roanoke, VA",62.33,43.34,73.37,90.08,39.66
"Hattiesburg, MS",81.87,22.94,55.24,69.12,39.37
"Asheville, NC",54.11,54.1,66.57,85.83,38.81
"Cedar Rapids, IA",52.41,34.27,5.94,41.92,38.52
"Lawrence, KS",75.36,22.66,26.06,5.38,38.24
"Janesville-Beloit, WI",53.83,29.17,9.63,16.71,37.96
"Jacksonville, NC",82.72,22.37,66.28,1.13,37.67
"Lancaster, PA",36.83,57.5,50.7,31.16,37.39
"Lafayette, IN",69.41,45.32,23.22,13.03,37.11
"Columbia, MO",68.56,73.08,25.77,97.73,36.54
"Brazoria, TX",88.39,47.59,81.3,3.96,35.97
"State College, PA",30.6,52.4,33.99,3.11,35.97
"Johnstown, PA",56.95,21.52,20.39,52.69,35.69
"Eau Claire, WI",44.2,66.57,3.39,90.36,35.41
"Charlottesville, VA",20.4,40.5,71.38,79.88,35.12
"Stamford-Norwalk, CT",1.42,5.94,35.97,76.2,34.56
"Sioux Falls, SD",93.77,70.82,5.09,93.76,34.27
"Tuscaloosa, AL",77.63,38.81,62.88,22.66,33.99
"Parkersburg-Marietta, WV-OH",81.31,13.88,55.8,16.99,33.71
"Montgomery, AL",60.34,44.19,73.08,59.49,33.42
"Nashua, NH",13.04,15.29,1.69,8.78,32.86
"Stockton-Lodi, CA",23.8,64.87,95.46,16.14,32.29
"Athens, GA",62.4,47.3,69.12,31.44,32.01
"Champaign-Urbana, IL",66.29,35.97,28.04,71.67,31.72
"Fitchburg-Leominster, MA",14.17,2.83,41.07,35.97,31.44
"Fort Smith, AR-OK",81.59,64.3,43.34,53.82,31.16
"Bakersfield, CA",24.65,85.55,96.88,19.54,30.87
"Amarillo, TX",96.89,28.32,39.66,64.58,30.59
"Springfield, IL",79.33,24.64,11.89,84.41,30.31
"Hamilton-Middletown, OH",39.1,68.27,29.46,5.66,30.02
"Sharon, PA",55.25,22.09,32.01,14.44,29.74
"Bloomington-Normal, IL",57.8,40.79,21.52,13.59,29.46
"Bryan-College Station, TX",91.51,50.42,73.65,41.64,28.89
"Waco, TX ",98.02,42.77,43.62,32.29,28.61
"Richland-Kennewick-Pasco, WA",72.24,55.8,89.51,10.19,28.32
"Waterloo-Cedar Falls, IA",89.52,11.89,6.51,65.72,28.04
"Tyler, TX",95.76,42.49,51.84,67.13,27.76
"Fresno, CA",40.23,87.25,93.76,30.02,27.47
"Evansville-Henderson, IN-KY",85.56,27.47,39.09,81.86,27.19
"Muncie, AL",62.89,18.41,37.39,35.69,26.91
"Sherman-Denison, TX",97.17,15.86,46.45,36.26,26.62
"Santa Cruz-Watsonville, CA",3.4,52.12,96.6,37.67,26.34
"Fort Collins-Loveland, CO",32.3,79.88,46.74,47.02,26.06
"Olympia, WA",36.27,73.93,77.9,31.72,25.77
"Wausau, WI",52.98,40.22,5.66,29.17,25.49
"Lima, OH",78.48,7.93,19.83,21.24,25.21
"Lubbock, TX",88.96,38.52,45.32,91.21,24.92
"Terre Haute, IN",76.21,6.79,33.71,47.87,24.64
"Sioux City, IA-NE",55.81,51.55,11.33,41.07,24.36
"Wichita Falls, TX",98.87,25.21,38.24,52.4,24.07
"Bellingham, WA",27.77,71.95,79.32,32.57,23.51
"Las Cruces, NM",69.13,45.04,58.92,0.56,23.22
"McAllen-Edinburg-Mission, TX",98.59,88.1,78.47,12.46,22.94
"Alexandria, LA",92.36,19.26,66,62.03,22.66
"Hagerstown, MD",76.78,17.56,41.64,7.08,22.37
"Topeka, KS",92.64,15.01,28.32,49.85,22.09
"York, PA",31.17,45.89,36.82,5.66,21.81
"Longview-Marshall, TX",96.04,56.94,53.54,13.31,21.52
"Flagstaff, AZ-UT",29.75,63.17,74.5,25.49,21.24
"Killeen-Temple, TX",96.61,44.47,52.4,44.75,20.96
"Ocala, FL",97.74,43.62,83.85,4.81,20.67
"Greeley, CO",58.36,36.26,33.14,9.06,20.39
"Lewiston-Auburn, ME",26.63,8.49,33.42,36.54,20.11
"Rapid City, SD",86.69,29.74,26.62,51.27,19.83
"Dubuque, IA",63.46,8.78,3.11,24.92,19.54
"Charleston, WV",64.59,33.14,51.27,83.28,19.26
"Dover, DE",32.87,27.76,59.49,0.84,18.98
"Kankakee, IL",45.05,33.42,18.98,11.33,18.69
"Owensboro, KY",79.04,15.58,41.92,21.52,18.41
"Yakima, WA",73.38,37.67,86.96,25.77,18.13
"Monroe, LA",87.26,45.6,43.9,64.3,17.84
"Wheeling, WV-OH",67.43,13.59,21.24,79.03,17.56
"Fayetteville, NC",78.19,60.62,64.02,17.84,17.28
"Billings, MT",70.83,28.89,28.89,56.37,16.71
"Lake Charles, LA",84.14,34.56,68.83,46.45,16.43
"Jersey City, NJ",5.39,16.43,76.2,38.24,16.14
"Redding, CA",46.75,49.29,92.63,43.05,15.86
"Mansfield, OH",59.78,38.24,9.91,15.01,15.58
"Danbury, CT",2.84,3.96,37.67,41.35,15.29
"Santa Fe, NM",9.92,75.63,84.98,49.57,15.01
"Greenville, NC",58.93,70.25,58.35,73.08,14.44
"San Angelo, TX",92.92,10.48,52.69,19.26,14.16
"Anniston, AL",93.21,7.64,62.32,29.74,13.88
"Salem, OR",35.98,73.65,80.16,9.91,13.59
"Steubenville-Weirton, OH-WV",68.84,0,26.34,7.93,13.31
"Medford-Ashland, OR",42.78,62.6,89.23,40.22,13.03
"Clarksville-Hopkinsville, TN-KY",100,57.22,31.16,2.54,12.74
"Kokomo, IN",77.34,3.11,15.58,18.41,12.46
"Odessa-Midland, TX",95.19,18.69,54.1,7.36,12.18
"Chico-Paradise, CA",36.55,51.27,94.61,45.6,11.89
"Elmira, NY",31.45,1.41,29.17,25.21,11.61
"Pueblo, CO",75.93,26.62,38.52,58.64,11.33
"Casper, WY",90.66,12.74,8.21,35.12,11.04
"Vineland-Millville-Bridgeton, NJ",18.99,8.21,61.75,10.48,10.76
"Grand Junction, CO",41.93,32.29,74.22,77.62,10.48
"Joplin, MO",87.82,60.33,31.44,11.04,10.19
"Rochester, MN",35.7,23.51,0,89.23,9.91
"Great Falls, MT",76.49,2.54,16.71,30.59,9.34
"Merced, CA",31.73,31.16,94.9,8.21,9.06
"Modesto, CA",29.47,43.9,95.75,30.87,8.78
"Yuma, AZ",43.35,54.67,88.95,0.28,8.49
"Gasden, AL",91.22,3.11,60.9,24.64,8.21
"Decatur, IL",69.69,0.28,13.31,28.04,7.93
"Sumter, SC",79.61,20.67,73.93,1.41,7.64
"Waterbury, CT",19.27,5.09,37.11,50.99,7.36
"St. Joseph, MO",82.16,1.69,13.59,9.34,7.08
"Albany, GA",86.12,32.01,75.63,20.11,6.79
"Yolo, CA",10.49,71.1,93.48,42.49,6.51
"Anchorage, AK",15.87,76.48,71.1,5.09,6.23
"Cheyenne, WY",85.84,11.33,40.22,22.37,5.94
"Yuba City, CA",33.15,37.39,90.36,6.23,5.38
"Pine Bluff, AR",81.02,7.36,52.97,39.09,5.09
"Visalia-Tulare-Porterville, CA",37.12,41.07,96.03,6.51,4.81
"Jackson, TN",99.16,49.85,35.12,79.32,4.53
"Lawton, OK",89.24,17.56,34.84,16.43,4.24
"Texarkana, TX-Texarkana, AR",94.34,16.71,63.73,51.84,3.96
"Elkhart-Goshen, IN",84.71,43.05,2.83,4.24,3.68
"Victoria, TX",99.44,20.39,67.98,72.52,3.39
"Abilene, TX",96.32,17.28,55.52,45.04,2.83
"Cumberland, MD-WV",60.06,5.38,24.64,38.52,2.54
"Dothan, AL",89.81,32.86,85.83,55.24,2.26
"Florence, SC",78.76,47.87,81.58,70.82,1.98
"Enid, OK",90.37,2.26,30.87,33.71,1.69
"Williamsport, PA",61.48,1.13,42.77,50.42,1.41
"Danville, VA",83.01,4.24,56.65,4.53,1.13
"Goldsboro, NC",75.64,11.04,61.18,2.83,0.84
"Laredo, TX",99.72,72.8,91.78,2.26,0.56
"Rocky Mount, NC",65.73,24.07,63.17,9.63,0.28
"Altoona, PA",61.76,12.18,54.95,64.02,0
